频道名称,tvg-id,tvg-name,Logo链接,频道分类,播放地址,单播ID,分辨率
CCTV1综合,CCTV1,CCTV1,CCTV1.png,央视,rtsp://115.233.41.137/PLTV/88888913/224/3221228078/10000100000000060000000002460690_0.smil,4646,1920x1080
CCTV2财经,CCTV2,CCTV2,CCTV2.png,央视,rtsp://115.233.41.137/PLTV/88888913/224/3221228083/10000100000000060000000002633372_0.smil,4704,1920x1080
CCTV3综艺,CCTV3,CCTV3,CCTV3.png,央视,rtsp://115.233.41.137/PLTV/88888913/224/3221229136/10000100000000060000000005809121_0.smil,5376344,1920x1080
CCTV4中文国际,CCTV4,CCTV4,CCTV4.png,央视,233.50.200.101:5140,,1920x1080
CCTV5体育,CCTV5,CCTV5,CCTV5.png,央视,rtsp://115.233.41.137/PLTV/88888913/224/3221229114/10000100000000060000000005809143_0.smil,5376348,1920x1080
CCTV5+体育赛事,CCTV5+,CCTV5+,CCTV5+.png,央视,rtsp://115.233.41.137/PLTV/88888913/224/3221229201/52583204.smil,52583203,1920x1080
CCTV6电影,CCTV6,CCTV6,CCTV6.png,央视,rtsp://115.233.41.137/PLTV/88888913/224/3221229161/10000100000000060000000005809142_0.smil,5376347,1920x1080
CCTV7国防军事,CCTV7,CCTV7,CCTV7.png,央视,rtsp://115.233.41.137/PLTV/88888913/224/3221228093/10000100000000060000000002633385_0.smil,4709,1920x1080
CCTV8电视剧,CCTV8,CCTV8,CCTV8.png,央视,rtsp://115.233.41.137/PLTV/88888913/224/3221229157/10000100000000060000000005809141_0.smil,5376346,1920x1080
CCTV9纪录,CCTV9,CCTV9,CCTV9.png,央视,rtsp://115.233.41.137/PLTV/88888913/224/3221228112/10000100000000060000000002633384_0.smil,4708,1920x1080
CCTV10科教,CCTV10,CCTV10,CCTV10.png,央视,rtsp://115.233.41.137/PLTV/88888913/224/3221228131/10000100000000060000000002633383_0.smil,4707,1920x1080
CCTV11戏曲,CCTV11,CCTV11,CCTV11.png,央视,233.50.200.132:5140,,1920x1080
CCTV12社会与法,CCTV12,CCTV12,CCTV12.png,央视,rtsp://115.233.41.137/PLTV/88888913/224/3221228130/10000100000000060000000002633382_0.smil,4706,1920x1080
CCTV13新闻,CCTV13,CCTV13,CCTV13.png,央视,rtsp://115.233.41.137/PLTV/88888913/224/3221229154/52628615.smil,52628614,1920x1080
CCTV14少儿,CCTV14,CCTV14,CCTV14.png,央视,rtsp://115.233.41.137/PLTV/88888913/224/3221228088/10000100000000060000000002633381_0.smil,4705,1920x1080
