央视,#genre#
CCTV1,rtsp://115.233.41.137/PLTV/88888913/224/3221228078/10000100000000060000000002460690_0.smil
CCTV2,rtsp://115.233.41.137/PLTV/88888913/224/3221228083/10000100000000060000000002633372_0.smil
CCTV3,rtsp://115.233.41.137/PLTV/88888913/224/3221229136/10000100000000060000000005809121_0.smil
CCTV4,http://{{your_udpxy_address}}/udp/233.50.200.101:5140
CCTV5,rtsp://115.233.41.137/PLTV/88888913/224/3221229114/10000100000000060000000005809143_0.smil
CCTV5+,rtsp://115.233.41.137/PLTV/88888913/224/3221229201/52583204.smil
CCTV6,rtsp://115.233.41.137/PLTV/88888913/224/3221229161/10000100000000060000000005809142_0.smil
CCTV7,rtsp://115.233.41.137/PLTV/88888913/224/3221228093/10000100000000060000000002633385_0.smil
CCTV8,rtsp://115.233.41.137/PLTV/88888913/224/3221229157/10000100000000060000000005809141_0.smil
CCTV9,rtsp://115.233.41.137/PLTV/88888913/224/3221228112/10000100000000060000000002633384_0.smil
CCTV10,rtsp://115.233.41.137/PLTV/88888913/224/3221228131/10000100000000060000000002633383_0.smil
CCTV11,http://{{your_udpxy_address}}/udp/233.50.200.132:5140
CCTV12,rtsp://115.233.41.137/PLTV/88888913/224/3221228130/10000100000000060000000002633382_0.smil
CCTV13,rtsp://115.233.41.137/PLTV/88888913/224/3221229154/52628615.smil
CCTV14,rtsp://115.233.41.137/PLTV/88888913/224/3221228088/10000100000000060000000002633381_0.smil
CCTV15,http://{{your_udpxy_address}}/udp/233.50.200.133:5140
CCTV16,rtsp://115.233.41.137/PLTV/88888913/224/3221229307/70526246.smil
CCTV17,http://{{your_udpxy_address}}/udp/233.50.200.113:5140
4K超高清,#genre#
CCTV16,rtsp://115.233.41.137/PLTV/88888913/224/3221229331/74036079.smil
北京卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221229453/128124469.smil
广东卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221229456/131699760.smil
深圳卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221229455/131699790.smil
欢笑剧场,http://{{your_udpxy_address}}/udp/233.50.200.52:5140
BesTV-1,http://{{your_udpxy_address}}/udp/233.50.200.182:5140
BesTV-2,http://{{your_udpxy_address}}/udp/233.50.200.183:5140
BesTV-3,http://{{your_udpxy_address}}/udp/233.50.200.185:5140
卫视,#genre#
浙江卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221228012/10000100000000060000000000794032_0.smil
深圳卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221227988/10000100000000060000000000794038_0.smil
广东卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221228011/10000100000000060000000000794034_0.smil
湖南卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221227983/10000100000000060000000000794037_0.smil
天津卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221228016/10000100000000060000000000794035_0.smil
山东卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221227978/10000100000000060000000000794036_0.smil
江苏卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221228067/10000100000000060000000001063212_0.smil
北京卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221228080/10000100000000060000000001063209_0.smil
纪实科教,rtsp://115.233.41.137/PLTV/88888913/224/3221229419/110036300.smil
四川卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221229046/10000100000000060000000004835838_0.smil
河北卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221229050/10000100000000060000000004836297_0.smil
辽宁卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221229042/10000100000000060000000004835836_0.smil
贵州卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221229044/10000100000000060000000004835835_0.smil
重庆卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221229061/10000100000000060000000004835834_0.smil
河南卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221229057/10000100000000060000000004835833_0.smil
江西卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221229127/10000100000000060000000004835832_0.smil
东南卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221229040/10000100000000060000000004835831_0.smil
安徽卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221228120/10000100000000060000000002242150_0.smil
湖北卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221228102/10000100000000060000000002242149_0.smil
黑龙江卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221228068/10000100000000060000000002242148_0.smil
东方卫视,rtsp://115.233.41.137/PLTV/88888913/224/3221228140/10000100000000060000000002670196_0.smil
甘肃卫视,http://{{your_udpxy_address}}/udp/233.50.200.163:5140
海南卫视,http://{{your_udpxy_address}}/udp/233.50.200.165:5140
广西卫视,http://{{your_udpxy_address}}/udp/233.50.200.136:5140
